id,title,channel_id,channel_name,published_date,description
WBknC0hf1ho,WHY AM I SO ANGRY?THIS DUMB?  WHAT THE HECK IS GOING ON RIGHT NOW WITH DOGECOIN &amp; CRYPTO??,UCyzDtZVP6Rlb-Yg3R5rY8Pg,Crypto Daily Trade Signals,2022-06-29T05:15:16Z,THIS IS SO DUMB!?? DOGECOIN & BITCOIN DOING WHAT? * THIS VIDEO IS NOT FINANCIAL ADVISE & FOR EDUCATIONAL ...
gzebmHe5ZJg,DOGECOIN BREAKING NEWS! CRYPTO.COM JUST DID THIS TO DOGE? NEXT 48 HOURS WILL BE CRITICAL!!,UCyzDtZVP6Rlb-Yg3R5rY8Pg,Crypto Daily Trade Signals,2022-06-28T12:45:14Z,DOGECOIN BREAKING NEWS! CRYPTO.COM JUST DID THIS TO DOGE? NEXT 48 HOURS WILL BE CRITICAL FOR BITCOIN ...
ibmG2mn6r8c,GENIUS Dogecoin PLAN By Billionaire Sam Bankman-Fried ⚠️,UCXqaGIjJysa810FJKvYvcJQ,Final Stand,2022-06-29T05:18:25Z,Join our crypto pick club where many of the biggest picks in crypto history are called early: https://www.patreon.com/mattwallace ...
Qu6St6lD9I8,Dogecoin is Going to .01 OR $1 NEXT! 🔥 Reasons To Buy DOGECOIN! *PREDICTION &amp; NEWS*,UC5ObMMzE4zLy7sgNj0xEmUQ,Roger Garcia,2022-06-29T03:15:00Z,Dogecoin is dropping as the entire crypto market has dropped. Dogecoin has bullish buying pressure from investors in the crypto ...
f5QC8DXE7F8,Crypto Com Running From Dogecoin Because Of This | Earn Program | Dogecoin News,UCbu9Jq1ewrfp1ZjCS-aKRQA,David Mitchell Jr,2022-06-29T01:55:08Z,Ledger Nano X Crypto Hardware Wallet & Ledger Nano S Crypto Hardware Wallet https://shop.ledger.com/?r=01f1d3f5672a ...
f_ZSrXXn7gw,BEST CRYPTO HARDWARE WALLETS ! What You Need To Know!  Doge &amp; Crypto Crash Again???,UCyzDtZVP6Rlb-Yg3R5rY8Pg,Crypto Daily Trade Signals,2022-06-28T16:00:12Z,DOGECOIN -NOW!! LATEST NEWS & UPDATES * THIS VIDEO IS NOT FINANCIAL ADVISE & FOR EDUCATIONAL PURPOSES ...
yMtboJwmsgM,Dogecoin Price ABOUT TO TRIPLE,UCXqaGIjJysa810FJKvYvcJQ,Final Stand,2022-06-28T02:59:19Z,Join our crypto pick club where many of the biggest picks in crypto history are called early: https://www.patreon.com/mattwallace ...
K87tpI0iZSQ,Dogecoin Rally!,UCZItcoS4T9O3WA_rhdii78A,Kriss,2022-06-27T13:06:27Z,I use Binance(dot)us for buying crypto. You can join Binance(dot)us by clicking on this link: ...
gim96LiChSo,Dogecoin To $0.28?,UCiuD3eNaZ95eSXImp_eSIww,Tom Crown,2022-06-28T19:26:52Z,Dogecoin To $0.28? CHANNEL PARTNERS Market Cipher Use Code Crown ➡️ https://tcrown.me/MarketCipher Phemex ...
5b56gX6X5rA,DOGECOIN 🔥 MAJOR DOGE MOVE COMING NEXT? DOGE TO .25! *PREDICTION &amp; NEWS*,UC5ObMMzE4zLy7sgNj0xEmUQ,Roger Garcia,2022-06-28T21:30:00Z,Dogecoin has pulled back after it had a recent uptrend. Dogecoin is showing signs of a downtrend through technical analysis.
ZUtoEUsRraw,Is Dogecoin Finally Dead?,UCEjgpiDPhTErrJm6zeNeAAw,The Bitcoin Express,2022-06-27T16:37:46Z,"Dogecoin was created as a joke in 2013, by Billy Markus and Jackson Palmer. Since then Dogecoin has made its way into the top ..."
-Bj98fHCs2k,Dogecoin GOING VIRAL (18 Million),UCXqaGIjJysa810FJKvYvcJQ,Final Stand,2022-06-26T22:23:19Z,URGENT! Join our crypto pick club where many of the biggest picks in crypto history are called early: ...
AdzaxncVeJ8,DOGECOIN PRICE UPDATE!!! GOODBYE YOUTUBE! This Could be the last video I ever do!!!!,UCV0v1IA3MK9KHcLzAxo-MGA,BOBBY STOCKS CRYPTO,2022-06-28T17:43:42Z,DOGECOIN PRICE UPDATE!!! GOODBYE YOUTUBE This Could be the last video I ever do!!!! LIMITED TIME:  5 FREE STOCKS!!
Z-vpZGuY1_g,Dogecoin News! DOGE back to $0.10?,UC9o-KkHtUgAaakX1773UVMw,Zach Humphries,2022-06-28T09:00:13Z,Dogecoin News! DOGE back to $0.10? Latest news on Dogecoin. Dogecoin could be primed to move up if the entire market ...
iRH4hkWV55M,Dogecoin FORMING MASSIVE SPIKE (Nobody is paying attention to this) ⚠️,UCXqaGIjJysa810FJKvYvcJQ,Final Stand,2022-06-26T03:31:57Z,Join our crypto pick club where many of the biggest picks in crypto history are called early: https://www.patreon.com/mattwallace ...
GEbYzWXZF8Y,The Tragic Downfall Of The Dogecoin Millionaire,UCV6KDgJskWaEckne5aPA0aQ,Graham Stephan,2022-06-06T22:30:02Z,"GET UP TO $100 OF FREE CRYPTO: Trade Bitcoin, Doge, and other crypto with zero fees on FTX. Use my referral code ..."
hl9jJwWIDNw,Dogecoin&#39;s Volume is $1.1 Billion In The Last 24 Hours | Defies Gravity | Dogecoin News,UCbu9Jq1ewrfp1ZjCS-aKRQA,David Mitchell Jr,2022-06-28T02:00:09Z,Ledger Nano X Crypto Hardware Wallet & Ledger Nano S Crypto Hardware Wallet https://shop.ledger.com/?r=01f1d3f5672a ...
SNq_HhOv_Nc,Another Chance to Buy Cheap Dogecoin?,UCZItcoS4T9O3WA_rhdii78A,Kriss,2022-06-28T13:28:30Z,I use Binance(dot)us for buying crypto. You can join Binance(dot)us by clicking on this link: ...
nwc7rg3QWYU,MASSIVE CRYPTO UPDATE AND WARNING!!!! #DOGECOIN #CRYPTO #BITCOIN,UCo0pfxcIxqqNRY3i_sbesIQ,Myles G Investments,2022-06-27T17:29:16Z,MASSIVE CRYPTO UPDATE AND WARNING!!!! #DOGECOIN #CRYPTO #bitcoin DOGECOIN UPDATE NEWS ELONMUSK ...
