id,title,channel_id,channel_name,published_date,description
4C6uVGP11gI,"Solana Price News Today - Elliott Wave Price Prediction &amp; Technical Analysis, Price Update!",UCngIhBkikUe6e7tZTjpKK7Q,More Crypto Online,2022-06-29T06:45:00Z,Solana Price News Today - Elliott Wave Price Prediction & Technical Analysis! In this video I talk about a technical analysis of the ...
8dmfKEIlTos,"Solana Price News Today - Elliott Wave Price Prediction &amp; Technical Analysis, Price Update!",UCngIhBkikUe6e7tZTjpKK7Q,More Crypto Online,2022-06-28T22:22:24Z,Solana Price News Today - Elliott Wave Price Prediction & Technical Analysis! In this video I talk about a technical analysis of the ...
ZiJjwSJ5mlk,HUGE MOVE INBOUND?? TIME TO BE PREPARED!! Should You Buy Solana Now? Solana Price Prediction 2022!,UCVEWFrDlFd3qFXCEz8-98Vw,Tyler Hill,2022-06-28T15:26:10Z,"To get access to the best charting tools in the game such as liquidity, order books, and my favorite the volume heatmap. Use my ..."
ik4oUaCwoWc,Solana Charts You Haven&#39;t Seen Before - SOL Crypto,UCfQaLLoJYaxg9ZNJVHCR9Lg,Gerhard - Bitcoin Strategy,2022-06-28T13:15:02Z,Premium Membership: https://the-bitcoin-strategy.com My Chart Software: https://the-bitcoin-strategy.com/tradingview My ...
yKk5jNT6uBY,Crypto smartphone will be ‘transformative’ for the industry: Solana co-founder,UCEAZeUIeJs0IjQiqTCdVSIg,Yahoo Finance,2022-06-27T17:24:04Z,crypto #YahooFinance Solana Labs CEO Anatoly Yakovenko joins Yahoo Finance Live anchors Brad Smith and David Hollerith ...
1jzROE6EhxM,What is Solana? SOL Explained with Animations,UCsYYksPHiGqXHPoHI-fm5sg,Whiteboard Crypto,2021-09-13T18:33:37Z,"Solana is a fast, cheap, and monstrous blockchain that's popped up lately. In this video, we talk about some technical stuff of ..."
EKDVeMrwyg0,"CUMBRE OTAN-SOLANA: &quot;&quot;Nosotros NO estamos contra RUSIA, estamos CONTRA PUTIN&quot; | RTVE",UC7QZIf0dta-XPXsp9Hv4dTw,RTVE Noticias,2022-06-28T20:09:56Z,Los cambios en el orden mundial desde la invasión rusa de Ucrania han dado un nuevo aliento a la Alianza Atlántica. Los socios ...
Y2RpT0ImlGs,"Crypto News: Harmony, Celsius, Voyager, Solana, FATF &amp; MORE!!",UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau,2022-06-27T14:07:24Z,Get The Hottest Crypto Deals https://guy.coinbureau.com/deals/ Insider Info in my Socials ...
9nk69d5M74Q,Solana: Single Digit SOL Incoming?,UCz28r8vkhJD9WhP5wmjefSw,CowboyTrades,2022-06-28T15:54:56Z,Solana SOL Coin: Single Digit SOL Incoming? - Crypto Technical Analysis and Price Prediction #sol #solana Bitcoin BTC ...
dDGarcu5er4,Solana Unveils Web3 Mobile Phone,UCrM7B7SL_g1edFOnmj-SDKg,Bloomberg Technology,2022-06-24T22:51:36Z,Solana Labs Co-Founder Anatoly Yakovenko joins Emily Chang to discuss their announcement of a new Web3-focused Android ...
86jht7szxgQ,Solana: SOL Potential in 2022!? This You NEED To Know!! ☀️,UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau,2022-04-16T14:49:08Z,Insider Info in my Socials https://guy.coinbureau.com/socials/ Get The Hottest Crypto Deals ...
XYbGdSVZliA,✨🚀SOLANA A PUNTO DE SUBIR UN 75%🚀✨📱¡Lanzamiento de su nuevo SMARTPHONE BASADO EN WEB 3!📱📈,UCh6QX-MKZvfTFn-A2g9J6Ug,OHANA DIGITAL,2022-06-28T18:30:35Z,Quieres ser un profesional de las criptomonedas y DeFi? Ohana Valhalla https://ohanavalhalla.com/ ✓ Registro Bitget: ...
1kTwI--I_fQ,SOLANA: THIS IS BAD....,UCNc4FB7ylWM0LBx0rx8SyZA,Crypto Dubai ,2022-06-26T16:06:04Z,Bybit $4460 Bonus AND 30% Trading Fee Discounts Here:⚡ Bybit: https://partner.bybit.com/b/cryptodubai Join the Patreon: ...
XdfI_q41sWk,🚨SE VA A PERDER MUCHO DINERO ✅Noticias Criptomonedas (HOY) CARDANO | BITCOIN | SOLANA | POLKADOT,UCccJ73p62TFlX1ImgWEdp4g,Informe Crypto,2022-06-28T22:00:15Z,El PRECIO de BITCOIN y las CRIPTOMONEDAS pueden SUBIR! ¿El DINERO INTELIGENTE va a PROVOCAR una CAÍDA para ...
RC7ojvmx8gc,143 - Solana Should Have Collapsed!,UC0WNX0de8I1fgKUrjxiPaRA,Son of a Tech,2022-06-28T16:49:17Z,"Use referral code ""soat"" for a $25 funding bonus when signing up for crypto dot com! https://crypto.com/app/soat Check Out the ..."
a7uNhIy-mpw,The Saga Begins - June 23 - NYC,UC9AdQPUe4BdVJ8M9X7wxHUA,Solana,2022-06-23T20:03:24Z,
E3of55kqO8s,SOLANA - THE NEXT TERRA LUNA? (DANGER BEWARE),UCQglaVhGOBI0BR5S6IJnQPg,Brian Jung,2022-06-21T21:30:00Z,Get up to $100 & Trade Crypto with zero fees on FTX. Use my referral code JUNG: https://ftx.us/partners/jung Join Our Crypto ...
