id,title,channel_id,channel_name,published_date,description
s3xlXiH88fM,WTF...MORE STIMULUS CHECKS COMING | BITCOIN UPDATE,UCI7M65p3A-D3P4v5qW8POxQ,CryptosRUs,2022-06-29T02:37:47Z,Today I want to talk about all the reasons to buy Bitcoin right now and talk about the state of the economy. Plus California is about ...
3nSiadJg8So,WHAT’S HAPPENING WITH CRYPTOCURRENCY? (GOLDMAN SACHS SAYS SELL!),UCbLhGKVY-bJPcawebgtNfbw,Altcoin Daily,2022-06-29T00:21:25Z,"What's happening with cryptocurrency into July 2022? Let's discuss the LATEST cryptocurrency news for bitcoin, ethereum, ..."
MPpflSVD89w,EXPECT THIS BIG BITCOIN MOVE IN THE NEXT 72 HOURS...[Watch Before July 1st],UCGDjpwZV-bU-sLSnhInCfKQ,Satoshi Stacker,2022-06-28T09:26:05Z,TRADE WITH ME ON BYBIT - WSOT: https://bit.ly/3xCdkBH UP TO IN $9030 BONUSES BELOW! ~~~~~ Top 2 Trading Platforms: ...
onDC8IRjOag,BEAR MARKET ISN’T OVER (Industry Pivots Suggest A LONG-HAUL For CRYPTO Losses),UCjemQfjaXAzA-95RKoy9n_g,BitBoy Crypto,2022-06-28T21:44:11Z,"Around the Blockchain is your favorite Cryptocurrency show discussing Bitcoin, Ethereum, Cardano, and the top altcoins. Our four ..."
8oVwGsOtjfw,⚠️URGENT!!!!⚠️BITCOIN IS SETUP FOR DISASTER!!!! 😰⚠️Crypto Prediction TA &amp; Cryptocurrency News Today,UCOaew10hdmtfa0MinTjOBqg,Crypto Kirby Trading,2022-06-28T19:31:58Z,Join my VIP now! - https://t.me/joinchat/rkXuLgtoTWQyY2M5 Bitcoin Price Dump / Crash Analysis & Crypto News Update!
rYQgy8QDEBI,How Cryptocurrency ACTUALLY works.,UCMiJRAwDNSNzuYeN2uWa0pA,Mrwhosetheboss,2021-06-06T11:15:56Z,"Bitcoin, Dogecoin, Ethereum, NFT's, all explained in one simple guide! Do consider subscribing if you enjoyed! It would make my ..."
yfdXrqVXVv0,CRYPTOCURRENCY MARKET PRICE PREDICTION,UCHQv-nQ2caXVvtTFa8WOJRA,Alexander Lorenzo,2022-06-28T19:31:32Z,The cryptocurrency market will look very bad soon***** How To QUIT Your Job With Crypto (Step By Step)   ...
8GXknjZpko8,BITCOIN HOLDERS LOOK AT THIS METRIC,UCI7M65p3A-D3P4v5qW8POxQ,CryptosRUs,2022-06-28T14:05:04Z,Today let's talk about some important metrics for Bitcoin and talk about if the US economy is in recession. Also update on several ...
_YuoIwgWKJw,I&#39;d Sell ALL Of THIS Crypto Right Now! FTX Buying Robinhood?,UCUr_YzOB7pp50F4r1KJ7Dag,My Financial Friend,2022-06-27T20:18:47Z,Get $10 when you trade your first $100 and save 10% on fees with the links below! FTX US Exchange (Advanced): ...
kjws7qWzZuk,SEC DECLARE ETHEREUM A SECURITY? | BITCOIN &amp; CRYPTO UPDATE,UCI7M65p3A-D3P4v5qW8POxQ,CryptosRUs,2022-06-28T02:23:35Z,Today let's talk about what SEC Chair Gary Gensler said about Bitcoin and what he didn't say about Ethereum. Also an update on ...
2_TK1Go8clQ,We&#39;re Heading To $0 | Explained,UCGy7SkBjcIAgTiwkXEtPnYg,Andrei Jikh,2022-06-27T22:15:00Z,Explaining how crypto and Bitcoin is all headed to $0: ▻ Skip the waitlist and invest in blue-chip art for the very first time by ...
JgzTgBcyLlU,Crypto Questions &amp; Answers | How to be safe from Crypto Scammers | Cryptocurrency,UCYdeu_7BFLqqBBl78rOo7Zw,Mayank Kharayat,2022-06-28T15:00:10Z,"Cryptocurrency #Crypto #Q&A If you are a beginner in Cryptocurrency you must have many questions, here we try to answer all ..."
VYWc9dFqROI,Explain Crypto To COMPLETE Beginners: My Guide!!👨‍🏫,UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau,2021-06-08T15:53:24Z,Insider Info in my Socials https://guy.coinbureau.com/socials/ 20% Binance Discount https://guy.coinbureau.com/binance/ ...
Dp_AjJd-AB4,#lunaclassic 151% 🚀⏱🌜#terraclassic #lunacoin #lunac #crypto #cryptocurrency #criptovalute #shorts,UCDDJOB062didL9BjcfJzYwQ,TG Crypto info,2022-06-29T08:58:11Z,
42IuADRr51E,MAJOR BITCOIN WARNING!! CAPITULATION IS COMING….,UCHop-jpf-huVT1IYw79ymPw,Chico Crypto,2022-06-28T15:02:05Z,WARNING!! A massive bitcoin capitulation & de-leverage event is coming!! Bitcoin will CRASH!! Crypto lending platforms and ...
XE01M8FJoc0,BITCOIN HOLDERS...BRACE FOR THIS WEEK!,UCI7M65p3A-D3P4v5qW8POxQ,CryptosRUs,2022-06-27T14:13:38Z,"Today let's talk about Bitcoin and why it may have a big week. Also big updates in regards to several crypto companies, Nexo, ..."
89b6Pz1tLs8,Terra Luna News Today | Rajeev Anand | Crypto News Today | Cryptocurrency News Today | Luna Classic,UCwJDtu7QF1-XcHiwelBo0NQ,Crypto Marg,2022-06-28T12:30:11Z,Luna Classic News| Luna Update | luna classic news | ust | luna news | luna news today (Crypto Marg Community) For Learning ...
P0eRJQhXRRw,The Whole Crypto Market is in Danger of Collapsing (Altcoins May Get Crushed),UCbLhGKVY-bJPcawebgtNfbw,Altcoin Daily,2022-06-26T22:29:32Z,"Will The Fed keep raising rates? Bitcoin or altcoins in 2022? Let's discuss the LATEST cryptocurrency news for bitcoin, ethereum, ..."
1YyAzVmP9xQ,Cryptocurrency In 5 Minutes | Cryptocurrency Explained | What Is Cryptocurrency? | Simplilearn,UCsvqVGtbbyHaMoevxPAq9Fg,Simplilearn,2021-06-29T15:30:00Z,This video on Cryptocurrency covers all the important concepts from basics to advanced. Also it covers all the information about ...
