id,title,channel_id,channel_name,published_date,description
gO7U3ibtCPA,Polkadot: Can DOT Survive The BEAR Market?! Deep Dive!!,UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau,2022-06-28T14:10:30Z,Get The Hottest Crypto Deals https://guy.coinbureau.com/deals/ Insider Info in my Socials ...
YlAdEQp6ekM,What is Polkadot? DOT Explained with Animations,UCsYYksPHiGqXHPoHI-fm5sg,Whiteboard Crypto,2021-09-18T15:22:45Z,"Polkadot is a project that is attempting to connect a bunch of different blockchains together, similar to how we use a bunch of ..."
H7S5k5jWp48,Polkadot: What&#39;s Up With DOT?! Potential in 2022!!,UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau,2022-02-17T16:01:08Z,Insider Info in my Socials https://guy.coinbureau.com/socials/ Get The Hottest Crypto Deals ...
C8Oujokm1-M,Polkadot Vs. Cosmos: Which is BEST?! Complete Comparison!!,UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau,2022-04-30T15:07:18Z,Insider Info in my Socials https://guy.coinbureau.com/socials/ Get The Hottest Crypto Deals ...
X77m8mEcs3Q,How to Retire on Polkadot by 2032 or sooner,UCxdWHEhEPiYhCADMrn4PdhQ,Fin Tek,2022-04-04T21:15:01Z,"Whether you're asking ""What is Polkadot?"" or you're a holder of the DOT token, this deep dive into Polkadot staking will explain ..."
eqV-y8DbJaY,How Much Polkadot (DOT) Do You Need To Become A Cryptocurrency Millionaire in 2022? | Gavin Wood,UCbLhGKVY-bJPcawebgtNfbw,Altcoin Daily,2021-10-12T01:38:02Z,Is DOT a good altcoin investment? Is Polkadot the Ethereum killer? How much Polkadot (DOT) do you need to become a crypto ...
VuPidyYkwLI,"Polkadot DOT Price News Today - Technical Analysis Update Now, Price Now! Elliott Wave Analysis!",UCngIhBkikUe6e7tZTjpKK7Q,More Crypto Online,2022-06-27T21:00:03Z,"Polkadot DOT Price News Today - Technical Analysis Update Now, Price Now! Elliott Wave Analysis! In this video I talk about a ..."
FxxFanDIfL8,TOP 5 Polkadot Projects: 2022 Potential!? 🔝,UCqK_GSMbpiV8spgD3ZGloSw,Coin Bureau,2022-01-12T15:45:41Z,Insider Info in my Socials https://guy.coinbureau.com/socials/ Best Deals in Crypto https://guy.coinbureau.com/deals/ ...
kw8eu2VadFA,What is Polkadot? | A Polkadot for Beginners Guide and Intro to Blockchain,UCB7PbjuZLEba_znc7mEGNgw,Polkadot,2020-05-21T21:48:21Z,0:00 - Opening 3:20 - Brief history of the internet 10:59 - What is blockchain? 25:49 - History of blockchain and crypto 27:34 - What ...
9LT2cdlT2JE,POLKADOT to EXPLODE (LIKE CARDANO)! INSANE CRYPTO PRICE PREDICTION + BEST ALTCOINS 2022,UCbLhGKVY-bJPcawebgtNfbw,Altcoin Daily,2022-04-24T16:09:55Z,"Nuclear Engineer PhD & Crypto Data Analyst Ben Cowen Favorite Altcoins, Polkadot Price Prediction, & MORE! Hit Like, Share ..."
